diario,id_news,snippet,category,time,title,year,tokens-headline,tokens-snippet,tokens-headline-stopwords-stemming,tokens-headline-stopwords,tokens-headline-stemming,tokens-snippet-stopwords-stemming,tokens-snippet-stopwords,tokens-snippet-stemming
La Hora (Ecuador),ecuador_lahora_2017_54,Siguen los cuestionamientos al plan economico del Gobierno de Ecuador ... continuos creditos otorgados al Gobierno por el Banco Central del Ecuador (BCE).,economi,13 Oct. 2017,Siguen los cuestionamientos al plan economico del Gobierno de ...,2017.0,siguen los cuestionamientos plan economico del gobierno,siguen los cuestionamientos plan economico del gobierno ecuador continuos creditos otorgados gobierno por banco central del ecuador bce,sig plan econom gobiern,siguen plan economico gobierno,sig los plan econom del gobiern,sig plan econom gobiern continu credit otorg gobiern banc central bce,siguen plan economico gobierno continuos creditos otorgados gobierno banco central bce,sig los plan econom del gobiern ecuador continu credit otorg gobiern por banc central del ecuador bce
La Hora (Ecuador),ecuador_lahora_2016_49,"Los examenes de cartometria realizados al futbolista Andy Casquete tendria 17 anos y no mas, esto segun los documentos publicados por el periodista Pablo ...",health,5 Feb. 2016,Se confirma que futbolista Andy Casquete nacio en 1998,2016.0,confirma que futbolista andy casquete nacio,los examenes cartometria realizados futbolista andy casquete tendria anos mas esto segun los documentos publicados por periodista pablo,confirm futbol andy casquet naci,confirma futbolista andy casquete nacio,confirm que futbol andy casquet naci,examen cartometri realiz futbol andy casquet tendri anos mas segun document public period pabl,examenes cartometria realizados futbolista andy casquete tendria anos mas segun documentos publicados periodista pablo,los examen cartometri realiz futbol andy casquet tendri anos mas esto segun los document public por period pabl
El Universo,,"Terapia fisica, salud mental, terapia del lenguaje, pediatria, ginecologia, entre otras especialidades brinda el nuevo Centro de Salud tipo C en Bastion Popular, ...",health,24 mar. 2018 -,Bastion Popular con nuevo centro de salud,,bastion popular con nuevo centro salud,terapia fisica salud mental terapia del lenguaje pediatria ginecologia entre otras especialidades brinda nuevo centro salud tipo bastion popular,bastion popul nuev centr salud,bastion popular nuevo centro salud,bastion popul con nuev centr salud,terapi fisic salud mental terapi lenguaj pediatri ginecologi especial brind nuev centr salud tip bastion popul,terapia fisica salud mental terapia lenguaje pediatria ginecologia especialidades brinda nuevo centro salud tipo bastion popular,terapi fisic salud mental terapi del lenguaj pediatri ginecologi entre otras especial brind nuev centr salud tip bastion popul
El Comercio (Ecuador),ecuador_elcomercio_2017_45,"""Creemos que las autoridades pertinentes de Ecuador trataran este caso de ... y tiene ""tolerancia cero"" hacia el comercio ilegal de especies amenazadas.",polit,28 ago. 2017,China espera que Ecuador respete los derechos de los pescadores ...,2017.0,china espera que ecuador respete los derechos los pescadores,creemos que las autoridades pertinentes ecuador trataran este caso tiene tolerancia cero hacia comercio ilegal especies amenazadas,chin esper respet derech pescador,china espera respete derechos pescadores,chin esper que ecuador respet los derech los pescador,cre autor pertinent trat cas tien toler cer haci comerci ilegal especi amenaz,creemos autoridades pertinentes trataran caso tolerancia cero hacia comercio ilegal especies amenazadas,cre que las autor pertinent ecuador trat este cas tien toler cer haci comerci ilegal especi amenaz
El Universo,,"No solo las universidades tienen menos recursos en la Pro forma 2019, tambien las escuelas y colegios. 12278. Agrandar/ Achicar. Email. Social print.",educ,15 nov. 2018 -,No solo las universidades tienen menos recursos en la Pro forma ...,,solo las universidades tienen menos recursos pro forma,solo las universidades tienen menos recursos pro forma tambien las escuelas colegios agrandar achicar email social print,sol univers tien men recurs pro form,solo universidades menos recursos pro forma,sol las univers tien men recurs pro form,sol univers tien men recurs pro form tambi escuel colegi agrand achic email social print,solo universidades menos recursos pro forma tambien escuelas colegios agrandar achicar email social print,sol las univers tien men recurs pro form tambi las escuel colegi agrand achic email social print
La Hora (Ecuador),ecuador_lahora_2017_15,"El ecuatoriano Holger Quinonez quien jugo las Eliminatorias al Mundial de Mexico 1986 dijo que sera complicado para Ecuador ganar en ese reducto. ""Todos ...",sport,30 ago. 2017,Ecuador visita esta noche (19:45) a Brasil en un partido que esta ...,2017.0,ecuador visita esta noche brasil partido que esta,ecuatoriano holger quinonez quien jugo las eliminatorias mundial mexico dijo que sera complicado para ecuador ganar ese reducto todos,visit noch brasil part,visita noche brasil partido,ecuador visit esta noch brasil part que esta,ecuatorian holg quinonez qui jug eliminatori mundial mexic dij ser complic par gan reduct tod,ecuatoriano holger quinonez jugo eliminatorias mundial mexico dijo sera complicado ganar reducto,ecuatorian holg quinonez qui jug las eliminatori mundial mexic dij que ser complic par ecuador gan ese reduct tod
,,El Consejo de Educacion Superior (CES) sera la autoridad encargada de decidir la prorrogacion de la intervencion en la Universidad de Guayaquil una vez ...,educ,7 dic. 2018 -,"Diagnostico de Universidad de Guayaquil, con presente 'agravado ...",,diagnostico universidad guayaquil con presente agravado,consejo educacion superior ces sera autoridad encargada decidir prorrogacion intervencion universidad guayaquil una vez,diagnost univers present agrav,diagnostico universidad presente agravado,diagnost univers guayaquil con present agrav,consej educacion superior ces ser autor encarg decid prorrogacion intervencion univers vez,consejo educacion superior ces sera autoridad encargada decidir prorrogacion intervencion universidad vez,consej educacion superior ces ser autor encarg decid prorrogacion intervencion univers guayaquil una vez
 , , Doce computadoras fueron robadas del recientemente reinaugurado Colegio Nacional Vicente Rocafuerte. Los equipos portatiles fueron sacados de uno de ...,crime,10 nov. 2015,Investigan robo de computadoras en remodelado colegio de Guayaquil,2015.0,investigan robo computadoras remodelado colegio guayaquil,doce computadoras fueron robadas del recientemente reinaugurado colegio nacional vicente rocafuerte los equipos portatiles fueron sacados uno,investig rob comput remodel colegi,investigan robo computadoras remodelado colegio,investig rob comput remodel colegi guayaquil,doc comput rob recient reinaugur colegi nacional vicent rocafuert equip portatil sac,doce computadoras robadas recientemente reinaugurado colegio nacional vicente rocafuerte equipos portatiles sacados,doc comput fueron rob del recient reinaugur colegi nacional vicent rocafuert los equip portatil fueron sac uno
El Universo,,"Acudi el 6 de marzo en la tarde al Centro de Salud de Sauces III, a emergencia, tenia un dolor estomacal fuerte y todas las instalaciones funcionaban, luz, aire ...",health,8 mar. 2018 -,En centros de salud,,centros salud,acudi marzo tarde centro salud sauces iii emergencia tenia dolor estomacal fuerte todas las instalaciones funcionaban luz aire,centr salud,centros salud,centr salud,acudi marz tard centr salud sauc iii emergent teni dolor estomacal fuert tod instal funcion luz air,acudi marzo tarde centro salud sauces iii emergencia tenia dolor estomacal fuerte todas instalaciones funcionaban luz aire,acudi marz tard centr salud sauc iii emergent teni dolor estomacal fuert tod las instal funcion luz air
La Hora (Ecuador),ecuador_lahora_2017_20,El crack del futbol mundial Lionel Messi logro revertir el marcador favorable con el que Ecuador empezo el partido contra Argentina. A los 12 minutos Messi ...,sport,10 Oct. 2017,Argentina gano a Ecuador 3-1 en el partido final de las eliminatorias ...,2017.0,argentina gano ecuador partido final las eliminatorias,crack del futbol mundial lionel messi logro revertir marcador favorable con que ecuador empezo partido contra argentina los minutos messi,argentin gan part final eliminatori,argentina gano partido final eliminatorias,argentin gan ecuador part final las eliminatori,crack futbol mundial lionel messi logr revert marcador favor empez part contr argentin minut messi,crack futbol mundial lionel messi logro revertir marcador favorable empezo partido argentina minutos messi,crack del futbol mundial lionel messi logr revert marcador favor con que ecuador empez part contr argentin los minut messi
El Comercio (Ecuador),ecuador_elcomercio_2018_46,"Con cuatro votos a favor y dos en contra, la Corte Interamericana de Derechos Humanos (Corte IDH) desestima la solicitud de medidas provisionales que ...",polit,8 Feb. 2018,Corte IDH desestima medidas preventivas por la pregunta 3 de la ...,2018.0,corte idh desestima medidas preventivas por pregunta,con cuatro votos favor dos contra corte interamericana derechos humanos corte idh desestima solicitud medidas provisionales que,cort idh desestim med prevent pregunt,corte idh desestima medidas preventivas pregunta,cort idh desestim med prevent por pregunt,cuatr vot favor dos contr cort interamerican derech human cort idh desestim solicitud med provisional,cuatro votos favor dos corte interamericana derechos humanos corte idh desestima solicitud medidas provisionales,con cuatr vot favor dos contr cort interamerican derech human cort idh desestim solicitud med provisional que
El Universo,,"Viajar por placer no solo es divertido, tambien puede tener beneficios para la salud fisica y mental. Si tiene la suerte de poder viajar, estas son seis razones ...",health,31 dic. 2018 -,Seis formas en las que viajar puede mejorar su salud,,seis formas las que viajar puede mejorar salud,viajar por placer solo divertido tambien puede tener beneficios para salud fisica mental tiene suerte poder viajar estas son seis razones,seis form viaj pued mejor salud,seis formas viajar puede mejorar salud,seis form las que viaj pued mejor salud,viaj plac sol divert tambi pued ten benefici par salud fisic mental tien suert pod viaj seis razon,viajar placer solo divertido tambien puede tener beneficios salud fisica mental suerte poder viajar seis razones,viaj por plac sol divert tambi pued ten benefici par salud fisic mental tien suert pod viaj estas son seis razon
El Comercio,ecuador_elcomercio_2018_41,"El radiodifusor Otto Sonnenholzner encabeza la terna para Vicepresidente del Ecuador y la completa Nancy Vasco de Maldonado, de la Fundacion El ...",polit,6 dic. 2018,?Quienes estan en la terna enviada por el presidente Lenin Moreno ...,2018.0,quienes estan terna enviada por presidente lenin moreno,radiodifusor otto sonnenholzner encabeza terna para vicepresidente del ecuador completa nancy vasco maldonado fundacion,estan tern envi president moren,estan terna enviada presidente,quien estan tern envi por president lenin moren,radiodifusor otto sonnenholzn encabez tern par vicepresident complet nancy vasc maldon fundacion,radiodifusor otto sonnenholzner encabeza terna vicepresidente completa nancy vasco maldonado fundacion,radiodifusor otto sonnenholzn encabez tern par vicepresident del ecuador complet nancy vasc maldon fundacion
El Universo,ecuador_eluniverso_2018_102,"... de ataques que pudimos recrear en esta para (en referencia a la pausa del campeonato por la participacion de la seleccion de Ecuador en amistosos)"".",sport,25 Nov. 2018,Jugadores de Emelec estan 'estimulados' dice DT Soso,2018.0,jugadores emelec estan estimulados dice soso,ataques que pudimos recrear esta para referencia pausa del campeonato por participacion seleccion ecuador amistosos,jugador emelec estan estimul dic sos,jugadores emelec estan estimulados dice soso,jugador emelec estan estimul dic sos,ataqu pud recr par referent paus campeonat participacion seleccion amist,ataques pudimos recrear referencia pausa campeonato participacion seleccion amistosos,ataqu que pud recr esta par referent paus del campeonat por participacion seleccion ecuador amist
El Comercio,ecuador_elcomercio_2018_67,"Segun las investigaciones sobre la ruta que realizo el bus, este partio desde Cali e ingreso al Ecuador por Sucumbios. El destino eran llegar a playas ...",crime,16 ago. 2018,El bus que se accidento en Papallacta ocultaba droga,2018.0,bus que accidento papallacta ocultaba droga,segun las investigaciones sobre ruta que realizo bus este partio desde cali ingreso ecuador por sucumbios destino eran llegar playas,bus accident papallact ocult drog,bus accidento papallacta ocultaba droga,bus que accident papallact ocult drog,segun investig sobr rut realiz bus parti desd cali ingres sucumbi destin lleg play,segun investigaciones ruta realizo bus partio cali ingreso sucumbios destino llegar playas,segun las investig sobr rut que realiz bus este parti desd cali ingres ecuador por sucumbi destin eran lleg play
El Comercio,ecuador_elcomercio_2015_29,"Desde los inicios de la Revolucion Ciudadana, China se ha convertido en el pais con el cual Ecuador ha mantenido estrechas relaciones. La visita oficial del ...",polit,9 ene. 2015,"China, el aliado estrategico de Ecuador",2015.0,china aliado estrategico ecuador,desde los inicios revolucion ciudadana china convertido pais con cual ecuador mantenido estrechas relaciones visita oficial del,chin ali estrateg,china aliado estrategico,chin ali estrateg ecuador,desd inici revolucion ciudadan chin convert pais manten estrech relacion visit oficial,inicios revolucion ciudadana china convertido pais mantenido estrechas relaciones visita oficial,desd los inici revolucion ciudadan chin convert pais con cual ecuador manten estrech relacion visit oficial del
El Universo,ecuador_eluniverso_2015_58,"Efectivos de Ecuador detuvieron en la provincia de Sucumbios a Diego Mauricio M.R., alias 'El Paisa', la tercera persona mas buscada de Colombia, informo el ...",crime,20 Jul. 2015,"Policia de Ecuador detiene a 'El Paisa', uno de los mas buscados en ...",2015.0,policia ecuador detiene paisa uno los mas buscados,efectivos ecuador detuvieron provincia sucumbios diego mauricio alias paisa tercera persona mas buscada colombia informo,polici detien pais mas busc,policia detiene paisa mas buscados,polici ecuador detien pais uno los mas busc,efect detuv provinci sucumbi dieg maurici ali pais tercer person mas busc colombi inform,efectivos detuvieron provincia sucumbios diego mauricio alias paisa tercera persona mas buscada colombia informo,efect ecuador detuv provinci sucumbi dieg maurici ali pais tercer person mas busc colombi inform
El Universo,ecuador_eluniverso_2015_40,"La economia de Ecuador crecio 3,8% en el 2014 frente al 4,6% del 2013, dijo el sabado el presidente Rafael Correa. En principio, el gobierno ecuatoriano ...",economi,28 Mar. 2015,"Economia de Ecuador crecio en un 3,8% durante el 2014",2015.0,economia ecuador crecio durante,economia ecuador crecio frente del dijo sabado presidente rafael correa principio gobierno ecuatoriano,economi creci durant,economia crecio,economi ecuador creci durant,economi creci frent dij sab president corre principi gobiern ecuatorian,economia crecio frente dijo sabado presidente principio gobierno ecuatoriano,economi ecuador creci frent del dij sab president rafael corre principi gobiern ecuatorian
El Comercio (Ecuador),ecuador_elcomercio_2016_14,"Mediante un comunicado emitido este 18 de octubre del 2016, la Cancilleria ecuatoriana senalo que ha restringido temporalmente el acceso a parte de su ...",polit,18 Oct. 2016,Ecuador restringio temporalmente la comunicacion en su Embajada ...,2016.0,ecuador restringio temporalmente comunicacion embajada,mediante comunicado emitido este octubre del cancilleria ecuatoriana senalo que restringido temporalmente acceso parte,restringi temporal comunicacion embaj,restringio temporalmente comunicacion embajada,ecuador restringi temporal comunicacion embaj,mediant comunic emit octubr cancilleri ecuatorian senal restring temporal acces part,mediante comunicado emitido octubre cancilleria ecuatoriana senalo restringido temporalmente acceso parte,mediant comunic emit este octubr del cancilleri ecuatorian senal que restring temporal acces part
El Comercio,ecuador_elcomercio_2015_43,La FIFA publico el 'ranking' mensual de las selecciones alrededor del mundo y en ese listado la Seleccion ecuatoriana de futbol ascendio 10 puestos gracias ...,sport,5 Nov. 2015,La Seleccion de Ecuador ascendio 10 puestos en el 'ranking' FIFA,2015.0,seleccion ecuador ascendio puestos ranking fifa,fifa publico ranking mensual las selecciones alrededor del mundo ese listado seleccion ecuatoriana futbol ascendio puestos gracias,seleccion ascendi puest ranking fif,seleccion ascendio puestos ranking fifa,seleccion ecuador ascendi puest ranking fif,fif public ranking mensual seleccion alrededor mund list seleccion ecuatorian futbol ascendi puest graci,fifa publico ranking mensual selecciones alrededor mundo listado seleccion ecuatoriana futbol ascendio puestos gracias,fif public ranking mensual las seleccion alrededor del mund ese list seleccion ecuatorian futbol ascendi puest graci
El Comercio (Ecuador),ecuador_elcomercio_2017_2,"Ecuador celebrara el proximo 2 de abril un balotaje entre el oficialista Lenin Moreno y el opositor Guillermo Lasso, tras el anuncio del presidente del Consejo ...",polit,21 Feb. 2017,"Lenin Moreno 39,36% - Guillermo Lasso 28,09%, con 99,92% de ...",2017.0,lenin moreno guillermo lasso con,ecuador celebrara proximo abril balotaje entre oficialista lenin moreno opositor guillermo lasso tras anuncio del presidente del consejo,moren guillerm lass,guillermo lasso,lenin moren guillerm lass con,celebr proxim abril balotaj oficial moren opositor guillerm lass tras anunci president consej,celebrara proximo abril balotaje oficialista opositor guillermo lasso tras anuncio presidente consejo,ecuador celebr proxim abril balotaj entre oficial lenin moren opositor guillerm lass tras anunci del president del consej
La Hora (Ecuador),ecuador_lahora_2016_39,"Washington, EFE. Los cientificos han observado las primeras senales de que la capa de ozono comienza a recuperarse, segun un estudio publicado en el ...",health,1 Jul. 2016,"La capa de ozono se recupera, revela un estudio",2016.0,capa ozono recupera revela estudio,washington efe los cientificos han observado las primeras senales que capa ozono comienza recuperarse segun estudio publicado,cap ozon recuper revel estudi,capa ozono recupera revela estudio,cap ozon recuper revel estudi,washington efe cientif observ primer senal cap ozon comienz recuper segun estudi public,washington efe cientificos observado primeras senales capa ozono comienza recuperarse segun estudio publicado,washington efe los cientif han observ las primer senal que cap ozon comienz recuper segun estudi public
El Comercio (Ecuador),ecuador_elcomercio_2018_65,"Ecuador ""se esta abriendo al mundo"" en busca de inversiones y de ampliar sus ... El ministro de Comercio Exterior, Pablo Campana, quien tambien participo en ...",economi,30 May. 2018,"EE.UU., prioridad en hoja de ruta comercial de Ecuador",2018.0,prioridad hoja ruta comercial ecuador,ecuador esta abriendo mundo busca inversiones ampliar sus ministro comercio exterior pablo campana quien tambien participo,priorid hoj rut comercial,prioridad hoja ruta comercial,priorid hoj rut comercial ecuador,abriend mund busc inversion ampli ministr comerci exterior pabl campan qui tambi particip,abriendo mundo busca inversiones ampliar ministro comercio exterior pablo campana tambien participo,ecuador esta abriend mund busc inversion ampli sus ministr comerci exterior pabl campan qui tambi particip
El Comercio (Ecuador),ecuador_elcomercio_2016_63,El estratega Gustavo Quinteros declaro en rueda de prensa este martes 6 de septiembre despues de la derrota de la Seleccion de Ecuador 2-1 ante Peru ...,sport,7 Sep. 2016,Gustavo Quinteros: 'Ecuador pierde por dos errores infantiles',2016.0,gustavo quinteros ecuador pierde por dos errores infantiles,estratega gustavo quinteros declaro rueda prensa este martes septiembre despues derrota seleccion ecuador ante peru,gustav quinter pierd dos error infantil,gustavo quinteros pierde dos errores infantiles,gustav quinter ecuador pierd por dos error infantil,estrateg gustav quinter declar rued prens mart septiembr despu derrot seleccion peru,estratega gustavo quinteros declaro rueda prensa martes septiembre despues derrota seleccion peru,estrateg gustav quinter declar rued prens este mart septiembr despu derrot seleccion ecuador ante peru
El Universo,ecuador_eluniverso_2016_39,La exportacion de banano hacia la Union Europea es uno de los capitulos con tratamiento especial en el Acuerdo Multipartes. Aunque el regimen arancelario ...,economi,15 dic. 2016,Ecuador exportara banano sin limitaciones desde el 2020,2016.0,ecuador exportara banano sin limitaciones desde,exportacion banano hacia union europea uno los capitulos con tratamiento especial acuerdo multipartes aunque regimen arancelario,export banan limit desd,exportara banano limitaciones,ecuador export banan sin limit desd,exportacion banan haci union europe capitul tratamient especial acuerd multipart aunqu regim arancelari,exportacion banano hacia union europea capitulos tratamiento especial acuerdo multipartes aunque regimen arancelario,exportacion banan haci union europe uno los capitul con tratamient especial acuerd multipart aunqu regim arancelari
El Comercio,ecuador_elcomercio_2018_19,Fue solo un cotejo amistoso pero el triunfo en Lima en un estadio Nacional con miles de aficionados invita a sonar en una futura eliminatoria eficaz para el ...,sport,15 Nov. 2018,Con goles de Antonio y Enner Valencia Ecuador gano 2-0 a Peru en ...,2018.0,con goles antonio enner valencia ecuador gano peru,fue solo cotejo amistoso pero triunfo lima estadio nacional con miles aficionados invita sonar una futura eliminatoria eficaz para,gol antoni enner valenci gan peru,goles antonio enner gano peru,con gol antoni enner valenci ecuador gan peru,sol cotej amist per triunf lim estadi nacional mil aficion invit futur eliminatori eficaz par,solo cotejo amistoso triunfo lima estadio nacional miles aficionados invita sonar futura eliminatoria eficaz,fue sol cotej amist per triunf lim estadi nacional con mil aficion invit son una futur eliminatori eficaz par
El Comercio (Ecuador),ecuador_elcomercio_2016_88,"Rusia y Ecuador, segun confirma la declaracion de Sochi, reiteraron su ... Ecuador, que busca apoyarse en Rusia para superar un modelo de comercio exterior ...",economi,14 Nov. 2016,Rusia y Ecuador firman un tratado para evitar la doble imposicion y ...,2016.0,rusia ecuador firman tratado para evitar doble imposicion,rusia ecuador segun confirma declaracion sochi reiteraron ecuador que busca apoyarse rusia para superar modelo comercio exterior,rusi firm trat par evit dobl imposicion,rusia firman tratado evitar doble imposicion,rusi ecuador firm trat par evit dobl imposicion,rusi segun confirm declaracion sochi reiter busc apoy rusi par super model comerci exterior,rusia segun confirma declaracion sochi reiteraron busca apoyarse rusia superar modelo comercio exterior,rusi ecuador segun confirm declaracion sochi reiter ecuador que busc apoy rusi par super model comerci exterior
El Comercio,ecuador_elcomercio_2015_67,"Tres anos despues de que la Policia italiana encontrara la valija diplomatica contaminada con cocaina, el Ministerio del Interior de Ecuador sostiene que el ...",crime,8 May. 2015,15 hitos del caso 'valija diplomatica',2015.0,hitos del caso valija diplomatica,tres anos despues que policia italiana encontrara valija diplomatica contaminada con cocaina ministerio del interior ecuador sostiene que,hit cas valij diplomat,hitos caso valija diplomatica,hit del cas valij diplomat,tres anos despu polici italian encontr valij diplomat contamin cocain ministeri interior sostien,tres anos despues policia italiana encontrara valija diplomatica contaminada cocaina ministerio interior sostiene,tres anos despu que polici italian encontr valij diplomat contamin con cocain ministeri del interior ecuador sostien que
El Comercio (Ecuador),ecuador_elcomercio_2017_42,"El vicepresidente del Tribunal Electoral de Bolivia, Antonio Costas, destaco el jueves 5 de enero la plataforma tecnologica que ha preparado el Consejo ...",polit,5 ene. 2017,Observador destaca plataforma tecnologica para elecciones de Ecuador,2017.0,observador destaca plataforma tecnologica para elecciones ecuador,vicepresidente del tribunal electoral bolivia antonio costas destaco jueves enero plataforma tecnologica que preparado consejo,observ destac plataform tecnolog par eleccion,observador destaca plataforma tecnologica elecciones,observ destac plataform tecnolog par eleccion ecuador,vicepresident tribunal electoral bolivi antoni cost destac juev ener plataform tecnolog prepar consej,vicepresidente tribunal electoral bolivia antonio costas destaco jueves enero plataforma tecnologica preparado consejo,vicepresident del tribunal electoral bolivi antoni cost destac juev ener plataform tecnolog que prepar consej
El Universo,ecuador_eluniverso_2017_79,La contracara son Chile 3 de 12 y Ecuador cero de 12. Y no son los unicos atribulados. La hermana en desgracia es Argentina que entro en zona de ...,sport,6 Sep. 2017,Ecuador: ?Es el tecnico o son los jugadores...?,2017.0,ecuador tecnico son los jugadores,contracara son chile ecuador cero son los unicos atribulados hermana desgracia argentina que entro zona,tecnic jugador,tecnico jugadores,ecuador tecnic son los jugador,contrac chil cer unic atribul herman desgraci argentin entro zon,contracara chile cero unicos atribulados hermana desgracia argentina entro zona,contrac son chil ecuador cer son los unic atribul herman desgraci argentin que entro zon
El Comercio,ecuador_elcomercio_2015_77,El 156o periodo de sesiones de la Comision Interamericana de Derechos Humanos (CIDH) ha registrado el retorno de Ecuador a ese organismo con sede en ...,polit,21 Oct. 2015,El Ecuador y la CIDH,2015.0,ecuador cidh,periodo sesiones comision interamericana derechos humanos cidh registrado retorno ecuador ese organismo con sede,cidh,cidh,ecuador cidh,period sesion comision interamerican derech human cidh registr retorn organ sed,periodo sesiones comision interamericana derechos humanos cidh registrado retorno organismo sede,period sesion comision interamerican derech human cidh registr retorn ecuador ese organ con sed
El Universo,," Practicar algun deporte permite que el menor pueda fortalecer la salud mental como la corporal, recomienda Susan Bowerman, directora de Nutricion y ...",health,14 ago. 2017 -,Cinco datos nutricionales para fortalecer la salud de un nino que ...,,cinco datos nutricionales para fortalecer salud nino que,practicar algun deporte permite que menor pueda fortalecer salud mental como corporal recomienda susan bowerman directora nutricion,cinc dat nutricional par fortalec salud nin,cinco datos nutricionales fortalecer salud nino,cinc dat nutricional par fortalec salud nin que,practic algun deport permit menor pued fortalec salud mental com corporal recomiend bowerm director nutricion,practicar algun deporte permite menor pueda fortalecer salud mental corporal recomienda susan bowerman directora nutricion,practic algun deport permit que menor pued fortalec salud mental com corporal recomiend sus bowerm director nutricion
El Universo,ecuador_eluniverso_20190815,"Dos hombres que se resistieron al robo de un celular fueron heridos de bala, la madrugada de ayer...",crime,15 ag. 2019,Dos heridos por resistirsee a robo,2019.0,dos heridos por resistirsee robo,dos hombres que resistieron robo celular fueron heridos bala madrugada ayer,dos her resistirse rob,dos heridos resistirsee robo,dos her por resistirse rob,dos hombr resist rob celul her bal madrug ayer,dos hombres resistieron robo celular heridos bala madrugada ayer,dos hombr que resist rob celul fueron her bal madrug ayer
El Comercio (Ecuador),ecuador_elcomercio_2017_8,La Seleccion ecuatoriana tiene una baja para medir a Peru el proximo 5 de septiembre. Fidel Martinez acumulo su segunda tarjeta amarilla la noche del ...,sport,31 ago. 2017,Fidel Martinez se perdera el partido contra Peru en la fecha 16 de las ...,2017.0,fidel martinez perdera partido contra peru fecha las,seleccion ecuatoriana tiene una baja para medir peru proximo septiembre fidel martinez acumulo segunda tarjeta amarilla noche del,fidel martinez perder part contr peru fech,fidel martinez perdera partido peru fecha,fidel martinez perder part contr peru fech las,seleccion ecuatorian tien baj par med peru proxim septiembr fidel martinez acumul segund tarjet amarill noch,seleccion ecuatoriana baja medir peru proximo septiembre fidel martinez acumulo segunda tarjeta amarilla noche,seleccion ecuatorian tien una baj par med peru proxim septiembr fidel martinez acumul segund tarjet amarill noch del
El Comercio (Ecuador),ecuador_elcomercio_2017_79,Victor Estrella Burgos volvio a sorprender en Quito y avanzo en el ATP 250 Ecuador Open al derrotar a Andrej Martin por 6-4 2-6 y 6-4 en una hora y 52 ...,sport,8 Feb. 2017,Victor Estrella Burgos avanzo en el ATP 250 Ecuador Open,2017.0,victor estrella burgos avanzo atp ecuador open,victor estrella burgos volvio sorprender quito avanzo atp ecuador open derrotar andrej martin por una hora,victor estrell burg avanz atp open,victor estrella burgos avanzo atp open,victor estrell burg avanz atp ecuador open,victor estrell burg volvi sorprend quit avanz atp open derrot andrej martin hor,victor estrella burgos volvio sorprender avanzo atp open derrotar andrej martin hora,victor estrell burg volvi sorprend quit avanz atp ecuador open derrot andrej martin por una hor
El Universo,ecuador_eluniverso_2015_138,Corea del Sur anuncio este miercoles que iniciara proximamente las negociaciones para sellar acuerdos comerciales con Ecuador y con el bloque ...,economi,29 abr. 2015,Corea del Sur negociara acuerdos comerciales con Ecuador y ...,2015.0,corea del sur negociara acuerdos comerciales con ecuador,corea del sur anuncio este miercoles que iniciara proximamente las negociaciones para sellar acuerdos comerciales con ecuador con bloque,core sur negoci acuerd comercial,corea sur negociara acuerdos comerciales,core del sur negoci acuerd comercial con ecuador,core sur anunci miercol inici proxim negoci par sell acuerd comercial bloqu,corea sur anuncio miercoles iniciara proximamente negociaciones sellar acuerdos comerciales bloque,core del sur anunci este miercol que inici proxim las negoci par sell acuerd comercial con ecuador con bloqu
El Comercio (Ecuador),ecuador_elcomercio_2016_94,El Ministerio del Interior de Ecuador aseguro el miercoles 11 de mayo del 2016 que respeta los derechos humanos de un grupo de diez cubanos que ...,polit,11 May. 2016,Ecuador dice que se respetan derechos de grupo de cubanos en huelga,2016.0,ecuador dice que respetan derechos grupo cubanos huelga,ministerio del interior ecuador aseguro miercoles mayo del que respeta los derechos humanos grupo diez cubanos que,dic respet derech grup cuban huelg,dice respetan derechos grupo cubanos huelga,ecuador dic que respet derech grup cuban huelg,ministeri interior asegur miercol may respet derech human grup diez cuban,ministerio interior aseguro miercoles mayo respeta derechos humanos grupo diez cubanos,ministeri del interior ecuador asegur miercol may del que respet los derech human grup diez cuban que
El Universo,ecuador_eluniverso_2015_27,"El Ministerio de Salud Publica del Ecuador dio una alerta epidemiologica sobre el zika, sus sintomas y como evitarlo. La alerta se da acogiendo las ...",health,20 Oct. 2015,?Que es el virus zika?,2015.0,que virus zika,ministerio salud publica del ecuador dio una alerta epidemiologica sobre zika sus sintomas como evitarlo alerta acogiendo las,virus zik,virus zika,que virus zik,ministeri salud public dio alert epidemiolog sobr zik sintom com evit alert acog,ministerio salud publica dio alerta epidemiologica zika sintomas evitarlo alerta acogiendo,ministeri salud public del ecuador dio una alert epidemiolog sobr zik sus sintom com evit alert acog las
El Comercio (Ecuador),ecuador_elcomercio_2016_71,"Alli el Ministro se reunira con John Melle, representante de Comercio de los EE. ... Para el analista economico Jorge Acaiturri, a Ecuador le urge no solo ...",economi,10 Jul. 2016,Juan Carlos Cassinelli inicia gira comercial por 3 paises,2016.0,juan carlos cassinelli inicia gira comercial por paises,alli ministro reunira con john melle representante comercio los para analista economico jorge acaiturri ecuador urge solo,juan carl cassinelli inici gir comercial pais,juan carlos cassinelli inicia gira comercial paises,juan carl cassinelli inici gir comercial por pais,alli ministr reunir john mell represent comerci par anal econom jorg acaiturri urge sol,alli ministro reunira john melle representante comercio analista economico jorge acaiturri urge solo,alli ministr reunir con john mell represent comerci los par anal econom jorg acaiturri ecuador urge sol
